Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Gene Symbol	
650469874	Clo1313_1033	LSU ribosomal protein L35P	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3	rpmI	
650469875	Clo1313_1034	LSU ribosomal protein L20P	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3	rplT	
650469876	Clo1313_1035	RNA methyltransferase, TrmH family, group 3	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469877	Clo1313_1036	glycosyltransferase 36	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469878	Clo1313_1037	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469879	Clo1313_1038	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469880	Clo1313_1039	leucyl/phenylalanyl-tRNA/protein transferase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3	aat	
650469881	Clo1313_1040	ATP-dependent Clp protease ATP-binding subunit ClpA (EC 3.4.21.92)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469882	Clo1313_1041	ATP-dependent Clp protease adaptor protein ClpS	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3	clpS	
650469883	Clo1313_1042	protein of unknown function DUF81	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469884	Clo1313_1043	protein of unknown function DUF81	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469885	Clo1313_1044	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469886	Clo1313_1045	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469887	Clo1313_1046	pyridoxal-phosphate dependent TrpB-like enzyme	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3	trpB	
650469888	Clo1313_1047	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469889	Clo1313_1048	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469890	Clo1313_1049	GCN5-related N-acetyltransferase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469891	Clo1313_1050	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469892	Clo1313_1051	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
650469893	Clo1313_1052	putative serine protein kinase, PrkA	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	3		
