Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Gene Symbol	
650468844	Clo1313_0001	chromosomal replication initiator protein DnaA	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2	dnaA	
650468845	Clo1313_0002	DNA polymerase III, beta subunit (EC 2.7.7.7)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468846	Clo1313_0003	S4 domain protein YaaA	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468847	Clo1313_0004	DNA replication and repair protein RecF	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2	recF	
650468848	Clo1313_0005	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468849	Clo1313_0006	DNA gyrase, B subunit	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2	gyrB	
650468850	Clo1313_0007	chromosome segregation ATPase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468851	Clo1313_0008	parB-like partition protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468852	Clo1313_0009	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468853	Clo1313_0010	TPR repeat-containing protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468854	Clo1313_0011	seryl-tRNA synthetase (EC 6.1.1.11)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2	serS	
650468857	Clo1313_0012	major facilitator superfamily MFS_1	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468858	Clo1313_0013	copper amine oxidase-like domain-containing protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468859	Clo1313_0014	S-layer domain-containing protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468860	Clo1313_0015	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468861	Clo1313_0016	VanW family protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468862	Clo1313_0017	gamma-D-glutamyl-{L}-meso-diaminopimelate peptidase I (EC:3.4.19.11). Metallo peptidase. MEROPS family M14C	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468863	Clo1313_0018	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468864	Clo1313_0019	pro-sigmaK processing inhibitor BofA	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468865	Clo1313_0020	pyruvate/ketoisovalerate oxidoreductase, gamma subunit	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
650468866	Clo1313_0021	pyruvate ferredoxin/flavodoxin oxidoreductase, delta subunit	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	2		
