Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Gene Symbol	
650470895	Clo1313_2060	FAD-dependent pyridine nucleotide-disulfide oxidoreductase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470896	Clo1313_2061	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470897	Clo1313_2062	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470898	Clo1313_2063	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470899	Clo1313_2064	FAD dependent oxidoreductase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470900	Clo1313_2065	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470901	Clo1313_2066	response regulator receiver	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470902	Clo1313_2067	4Fe-4S ferredoxin iron-sulfur binding domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470903	Clo1313_2068	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470904	Clo1313_2069	protein of unknown function UPF0044	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470905	Clo1313_2070	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470906	Clo1313_2071	GTP-binding protein Obg/CgtA	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	obg	
650470907	Clo1313_2072	LSU ribosomal protein L27P	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	rpmA	
650470908	Clo1313_2073	protein of unknown function DUF464	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470909	Clo1313_2074	LSU ribosomal protein L21P	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	rplU	
650470910	Clo1313_2075	RNAse G (EC 3.1.4.-)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470911	Clo1313_2076	Protein of unknown function DUF2344	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470912	Clo1313_2077	Radical SAM domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470913	Clo1313_2078	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470914	Clo1313_2079	protein of unknown function DUF1292	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470915	Clo1313_2080	Holliday junction resolvase YqgF	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470916	Clo1313_2081	aldo/keto reductase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470917	Clo1313_2082	protein of unknown function DUF965	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470918	Clo1313_2083	RNA modification enzyme, MiaB family	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470919	Clo1313_2084	phosphoryl transfer system HPr	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470920	Clo1313_2085	protein of unknown function DUF523	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470921	Clo1313_2086	RNAse R (EC 3.1.-.-)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	rnr	
650470922	Clo1313_2087	transposase IS200-family protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470923	Clo1313_2088	metal dependent phosphohydrolase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470924	Clo1313_2089	preprotein translocase, SecG subunit	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470925	Clo1313_2090	enolase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	eno	
650470926	Clo1313_2091	diguanylate cyclase and metal dependent phosphohydrolase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470927	Clo1313_2092	phosphoglycerate mutase (EC 5.4.2.1)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	gpmI	
650470928	Clo1313_2093	triosephosphate isomerase (EC 5.3.1.1)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	tpiA	
650470929	Clo1313_2094	phosphoglycerate kinase (EC 2.7.2.3)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	pgk	
650470930	Clo1313_2095	glyceraldehyde-3-phosphate dehydrogenase, type I	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470931	Clo1313_2096	4'-phosphopantetheinyl transferase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470932	Clo1313_2097	Beta-ketoacyl synthase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470933	Clo1313_2098	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470934	Clo1313_2099	AMP-dependent synthetase and ligase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470935	Clo1313_2100	Beta-ketoacyl-acyl-carrier-protein synthase I	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470936	Clo1313_2101	phosphopantetheine-binding protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470937	Clo1313_2102	Beta-ketoacyl-acyl-carrier-protein synthase I	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470938	Clo1313_2103	diguanylate cyclase and metal dependent phosphohydrolase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470939	Clo1313_2104	RNA methyltransferase, TrmH family, group 2	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470940	Clo1313_2105	CheC domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470941	Clo1313_2106	stage V sporulation protein ae	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470942	Clo1313_2107	stage V sporulation protein AE	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470943	Clo1313_2108	stage V sporulation protein AD	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470944	Clo1313_2109	stage V sporulation protein AC	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470945	Clo1313_2110	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470946	Clo1313_2111	RNA polymerase, sigma subunit, RpoX/SigF	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470947	Clo1313_2112	anti-sigma regulatory factor, serine/threonine protein kinase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470948	Clo1313_2113	anti-anti-sigma regulatory factor, SpoIIAA	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470949	Clo1313_2114	Phosphotransferase system, phosphocarrier protein HPr	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470950	Clo1313_2115	protein of unknown function DUF199	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	whiA	
650470951	Clo1313_2116	glycogen debranching enzyme	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470952	Clo1313_2117	protein of unknown function UPF0052 and CofD	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470953	Clo1313_2118	UPF0042 nucleotide-binding protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470954	Clo1313_2119	UDP-N-acetylmuramate dehydrogenase (EC 1.1.1.158)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	murB	
650470955	Clo1313_2120	PHP domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470956	Clo1313_2121	Hpr(Ser) kinase/phosphatase (EC 2.7.1.-)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	hprK	
650470957	Clo1313_2122	Dockerin type 1	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470960	Clo1313_2123	type IV pilus assembly PilZ	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470961	Clo1313_2124	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	ribH	
650470962	Clo1313_2125	3,4-dihydroxy-2-butanone 4-phosphate synthase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	ribBA	
650470963	Clo1313_2126	riboflavin synthase alpha chain (EC 2.5.1.9)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470964	Clo1313_2127	riboflavin biosynthesis protein RibD	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470965	Clo1313_2128	protein of unknown function UPF0047	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470966	Clo1313_2129	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	trmB	
650470967	Clo1313_2130	iron-containing alcohol dehydrogenase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470968	Clo1313_2131	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470969	Clo1313_2132	5,10-methylenetetrahydrofolate reductase (NAD(P)) (EC 1.5.1.20)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470970	Clo1313_2133	peptidase M50	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470971	Clo1313_2134	Peptidase M23	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470972	Clo1313_2135	protein of unknown function UPF0180	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470973	Clo1313_2136	methylglyoxal synthase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470974	Clo1313_2137	cell division topological specificity factor MinE	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	minE	
650470975	Clo1313_2138	septum site-determining protein MinD	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470976	Clo1313_2139	septum site-determining protein MinC	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	minC	
650470977	Clo1313_2140	penicillin-binding protein 2	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470978	Clo1313_2141	rod shape-determining protein MreD	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470979	Clo1313_2142	rod shape-determining protein MreC	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470980	Clo1313_2143	rod shape-determining protein MreB	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470981	Clo1313_2144	maf protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470982	Clo1313_2145	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470983	Clo1313_2146	Negative regulator of genetic competence	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470984	Clo1313_2147	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470985	Clo1313_2148	protein serine/threonine phosphatase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470986	Clo1313_2149	ATP-dependent protease La	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	lon	
650470987	Clo1313_2150	glutamate N-acetyltransferase (EC 2.3.1.35)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	argJ	
650470988	Clo1313_2151	CheW protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470989	Clo1313_2152	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470990	Clo1313_2153	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470991	Clo1313_2154	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470992	Clo1313_2155	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470993	Clo1313_2156	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470994	Clo1313_2157	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470995	Clo1313_2159	hypothetical protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470996	Clo1313_2160	phage shock protein C (PspC) family protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470997	Clo1313_2161	cellulose 1,4-beta-cellobiosidase (EC 3.2.1.91)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650470998	Clo1313_2162	asparaginyl-tRNA synthetase (EC 6.1.1.22)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	asnS	
650470999	Clo1313_2163	aspartate-ammonia ligase (EC 6.3.1.1)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	asnA	
650471000	Clo1313_2164	Peptidylprolyl isomerase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4		
650471001	Clo1313_2165	Silent information regulator protein Sir2	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	4	cobB	
